idCliente,idServidor,velocidad,distancia
0,3,300,4
1,3,300,1
2,3,600,1
4,6,300,1
5,6,600,4
7,13,900,4
8,13,300,10
9,13,300,8
10,13,600,5
11,13,300,10
12,13,300,4
14,20,900,5
15,20,900,10
16,20,600,3
17,20,900,7
18,20,600,5
19,20,600,5
21,26,300,4
22,26,900,7
23,26,900,2
24,26,600,7
25,26,600,1
27,28,900,3
29,33,600,3
30,33,600,6
31,33,300,10
32,33,300,3
34,38,600,6
35,38,900,2
36,38,300,6
37,38,900,2
39,42,900,6
40,42,900,2
41,42,600,4
44,51,900,4
45,51,600,10
46,51,900,9
47,51,600,8
48,51,300,4
49,51,600,7
50,51,900,1
52,62,900,8
53,62,300,5
54,62,300,3
55,62,600,10
56,62,600,9
57,62,600,2
58,62,600,9
59,62,300,3
60,62,600,1
61,62,600,7
63,68,900,4
64,68,900,6
65,68,600,6
66,68,900,3
67,68,600,10
69,84,300,1
70,84,900,1
71,84,300,8
72,84,600,7
73,84,900,10
74,84,300,3
75,84,600,8
76,84,900,3
77,84,600,5
78,84,900,2
79,84,900,7
80,84,900,1
81,84,900,6
82,84,900,5
83,84,300,10
85,88,900,1
86,88,900,7
87,88,900,7
89,93,900,1
90,93,600,4
91,93,300,10
92,93,300,4
94,99,300,1
95,99,600,5
96,99,300,8
97,99,300,1
98,99,900,7
100,102,300,10
101,102,900,6
103,119,300,8
104,119,900,9
105,119,600,4
106,119,900,5
107,119,900,7
108,119,600,3
109,119,600,10
110,119,600,3
111,119,900,9
112,119,600,9
113,119,300,3
114,119,900,6
115,119,900,8
116,119,900,5
117,119,600,9
118,119,300,1
120,121,300,4
122,141,300,10
123,141,900,6
124,141,300,6
125,141,600,7
126,141,600,7
127,141,300,4
128,141,600,7
129,141,900,2
130,141,300,9
131,141,300,4
132,141,900,10
133,141,300,9
134,141,300,2
135,141,900,3
136,141,900,1
137,141,300,9
138,141,900,1
139,141,900,10
140,141,600,4
142,145,300,3
143,145,300,4
144,145,600,9
146,147,300,1
149,157,300,3
150,157,900,9
151,157,300,10
152,157,600,8
153,157,300,8
154,157,300,3
155,157,300,9
156,157,300,7
158,163,600,3
159,163,900,10
160,163,600,10
161,163,300,4
162,163,600,3
164,167,900,9
165,167,900,9
166,167,300,7
168,169,600,10
170,171,900,1
172,180,600,6
173,180,900,4
174,180,900,5
175,180,300,7
176,180,300,2
177,180,600,8
178,180,300,10
179,180,900,9
181,182,600,4
183,186,900,6
184,186,600,1
185,186,900,9
187,190,900,8
188,190,600,2
189,190,900,6
191,192,300,10
193,204,900,4
194,204,300,5
195,204,900,9
196,204,600,4
197,204,600,5
198,204,300,2
199,204,900,2
200,204,600,4
201,204,300,7
202,204,300,8
203,204,600,6
205,210,600,9
206,210,300,9
207,210,900,2
208,210,600,5
209,210,900,3
211,216,300,8
212,216,600,9
213,216,600,9
214,216,900,4
215,216,900,4
217,221,300,10
218,221,600,3
219,221,600,7
220,221,300,8
223,224,900,10
225,228,300,8
226,228,300,10
227,228,600,10
229,232,600,1
230,232,900,7
231,232,300,7
234,239,300,4
235,239,300,10
236,239,300,4
237,239,900,8
238,239,600,6
240,245,600,4
241,245,600,9
242,245,900,10
243,245,300,6
244,245,600,1
246,247,300,2
249,252,600,4
250,252,300,1
251,252,900,9
253,256,600,6
254,256,900,7
255,256,600,10
257,258,600,3
259,262,900,7
260,262,300,5
261,262,600,1
264,265,600,7
266,267,300,8
268,269,600,6
270,278,600,7
271,278,900,2
272,278,900,4
273,278,900,9
274,278,600,3
275,278,600,8
276,278,600,4
277,278,900,5
279,280,300,1
281,285,900,6
282,285,300,2
283,285,600,7
284,285,900,3
288,294,300,6
289,294,300,8
290,294,300,4
291,294,900,5
292,294,900,8
293,294,900,4
295,298,300,9
296,298,600,3
297,298,600,6
3,20,2000,827
3,28,2000,430
3,84,1000,656
3,102,3000,672
3,121,3000,248
3,171,1000,335
3,182,1000,570
3,186,2000,28
3,190,2000,367
3,192,3000,671
3,233,1000,616
3,245,1000,222
3,248,2000,421
3,256,3000,214
3,262,1000,820
3,267,3000,213
3,280,3000,140
3,285,3000,462
3,294,3000,435
3,298,3000,964
6,38,1000,668
6,42,3000,60
6,102,3000,835
6,145,2000,763
6,182,3000,162
6,210,3000,977
6,221,2000,456
6,222,2000,238
6,228,2000,666
6,232,2000,906
6,233,2000,398
6,263,1000,945
6,280,2000,370
13,20,1000,22
13,26,3000,231
13,42,3000,376
13,102,1000,93
13,119,3000,961
13,147,1000,41
13,157,2000,509
13,163,1000,108
13,167,3000,542
13,169,3000,124
13,210,3000,35
13,221,3000,262
13,245,3000,622
13,252,2000,343
13,256,2000,627
13,262,2000,212
13,265,3000,993
13,267,3000,830
13,280,2000,282
13,286,2000,397
13,298,2000,953
20,99,2000,687
20,141,1000,732
20,145,2000,680
20,163,1000,238
20,180,3000,661
20,204,1000,232
20,228,2000,297
20,239,1000,454
20,247,2000,972
20,252,2000,953
20,265,2000,409
20,269,1000,619
20,286,2000,841
20,294,3000,937
26,28,1000,493
26,42,1000,849
26,43,1000,633
26,51,1000,747
26,121,3000,43
26,145,2000,407
26,163,2000,390
26,167,3000,77
26,180,2000,44
26,192,3000,232
26,210,1000,259
26,228,2000,94
26,239,3000,911
26,245,2000,764
26,256,3000,151
26,258,2000,305
26,265,3000,79
26,269,2000,551
26,294,3000,222
28,42,3000,830
28,102,1000,131
28,141,3000,966
28,182,3000,131
28,186,3000,515
28,210,2000,439
28,222,3000,677
28,228,3000,766
28,233,1000,430
28,263,3000,496
33,42,3000,712
33,43,2000,292
33,51,1000,829
33,62,2000,160
33,68,3000,379
33,88,2000,205
33,141,3000,373
33,163,1000,56
33,224,2000,353
33,258,3000,331
33,278,3000,408
33,280,2000,702
33,285,3000,705
33,287,3000,601
38,84,2000,910
38,119,3000,450
38,167,1000,125
38,224,3000,565
38,252,3000,167
38,285,2000,36
38,294,1000,688
42,68,1000,127
42,88,2000,832
42,93,3000,940
42,99,1000,245
42,119,3000,558
42,145,2000,811
42,163,2000,513
42,216,2000,80
42,221,2000,616
42,222,1000,889
42,233,3000,369
42,239,1000,875
42,245,3000,11
42,256,1000,583
42,262,2000,726
42,269,2000,417
42,280,2000,247
42,285,2000,542
42,286,2000,368
42,287,2000,478
43,62,3000,381
43,68,1000,405
43,121,1000,155
43,145,2000,987
43,169,2000,937
43,182,1000,435
43,216,2000,771
43,224,1000,174
43,232,1000,37
43,239,1000,225
43,252,2000,149
43,262,1000,480
43,267,2000,803
43,278,3000,540
43,280,2000,174
43,298,1000,283
51,62,2000,435
51,68,3000,687
51,84,3000,302
51,102,2000,483
51,121,1000,780
51,148,1000,360
51,171,3000,841
51,222,3000,757
51,232,2000,830
51,239,2000,474
51,247,2000,75
51,248,3000,293
51,256,3000,633
51,287,3000,149
51,294,2000,988
62,88,1000,810
62,102,3000,822
62,163,3000,538
62,232,3000,632
62,233,1000,340
62,247,3000,896
62,258,1000,248
62,278,2000,1000
62,298,1000,172
68,84,3000,838
68,93,3000,35
68,99,3000,926
68,121,2000,395
68,145,2000,591
68,171,2000,192
68,210,1000,255
68,216,1000,476
68,222,3000,932
68,239,3000,12
68,256,3000,292
68,262,3000,691
68,269,3000,902
84,93,3000,684
84,99,2000,880
84,167,1000,356
84,186,3000,17
84,232,3000,23
84,256,1000,136
84,267,1000,589
84,280,3000,463
84,287,2000,604
88,99,1000,64
88,148,3000,555
88,163,3000,763
88,210,3000,96
88,216,2000,339
88,222,1000,523
88,245,2000,485
88,256,1000,288
88,280,3000,395
88,286,1000,226
88,287,1000,950
88,298,1000,927
93,147,2000,292
93,148,2000,717
93,204,2000,103
93,210,2000,575
93,224,1000,683
93,228,1000,46
93,252,3000,975
93,263,1000,257
93,265,3000,167
93,269,2000,84
93,278,1000,247
99,102,1000,376
